name,slug,id,callSign,tmsid,time_shift
History Hit,history-hit,68fa84637ac952737656ae5f-5f74cf83ffbe690040689f50,,121657,
The Price is Right,the-price-is-right,68fa84637ac952737656ae5f-63e63d26abacad42ed3d1acd,,121659,
MAVTV Select,mavtv-select,68fa84637ac952737656ae5f-5f0641d0e8ffda004033aff4,,121708,
Don't Tell The Bride,dont-tell-the-bride,68fa84637ac952737656ae5f-635847d0d3a668f1cafc1f9d,,121714,
REELZ Famous & Infamous,reelz-famous-and-infamous,68fa84637ac952737656ae5f-64f0d3ddc2bc9b9001d46ea4,,121781,
Caught in Providence,caught-in-providence,68fa84637ac952737656ae5f-61ddcdc03c12aa1e5d320aaf,,121881,
Wanted: Dead or Alive,wanted-dead-or-alive,68fa84637ac952737656ae5f-61ddcc6023daf618ed44c29f,,122082,
i24NEWS Updates,i24news-updates,68fa84637ac952737656ae5f-61e9af453508a50f84213dd6,,122275,
Portlandia,portlandia,68fa84637ac952737656ae5f-61d735fea7b7c7f703418512,,122435,
Swerve Combat,swerve-combat,68fa84637ac952737656ae5f-61f04d2bb01a6e8df3f72902,,122436,
Midsomer Murders,midsomer-murders,68fa84637ac952737656ae5f-63d6fc71a9e88ee909e7ee23,,122437,-5
People are Awesome,people-are-awesome-2,68fa84637ac952737656ae5f-5f0ff263d71dcb00449ec021,,122524,
WildEarth,wildearth,68fa84637ac952737656ae5f-60d4edddb2fdec002c141135,,122534,2
True History,true-history,68fa84637ac952737656ae5f-614398a08f30fa61e0da7c97,,122536,
The Carol Burnett Show,the-carol-burnett-show,68fa84637ac952737656ae5f-60d4edd6b2fdec002c141125,,122609,
USA TODAY,usa-today-news,68fa84637ac952737656ae5f-60df3e18541143002f3b8607,,122855,
CineLife,cinelife,68fa84637ac952737656ae5f-616df1e90dfa27ee465797fa,,122969,
CBS News Colorado,cbs-news-colorado-2,68fa84637ac952737656ae5f-6571f5b31d2aae780d597198,,123120,
AXS TV NOW,axs-tv-now,68fa84637ac952737656ae5f-606605549dbfca002d2ae875,,123156,
Torque Presented By History,torque-presented-by-history,68fa84637ac952737656ae5f-63c1e64df0f132afc3afbab4,,123423,
Perform by Lifetime,perform-by-lifetime,68fa84637ac952737656ae5f-63c1ddfaf0f132afc3afbaae,,123424,-5
Ax Men by History,ax-men-by-history,68fa84637ac952737656ae5f-63c1ec0e0aa23f984207af82,,123425,-5
Ice Road Truckers,ice-road-truckers,68fa84637ac952737656ae5f-63c97610187b3c9f3581fdf6,,123426,-5
Crime ThrillHer,crime-thrillher,68fa84637ac952737656ae5f-63c97b45187b3c9f3581fdfb,,123427,1
Crimes Cults Killers,crimes-cults-killers,68fa84637ac952737656ae5f-63c97410187b3c9f3581fdf4,,123430,
UnXplained Zone,unxplained-zone,68fa84637ac952737656ae5f-63c9773e187b3c9f3581fdf8,,123431,-5
Deal Zone Presented By History,deal-zone-presented-by-history,68fa84637ac952737656ae5f-63c9724c5feb7b9655cb1950,,123432,1
Modern Marvels by History,modern-marvels-by-history,68fa84637ac952737656ae5f-63c97da7187b3c9f3581fdfd,,,
Degrassi,degrassi,68fa84637ac952737656ae5f-636d5aa3dc2c550b145ed422,,123455,-5
Bloomberg Originals,bloomberg-originals,68fa84637ac952737656ae5f-61d73c3ca7b7c7f703418518,,123870,
GoUSA TV,gousa-tv-3,68fa84637ac952737656ae5f-654d5db7ff9919cc3e31e961,,123897,
ALLBLK Gems,allblk-gems,68fa84637ac952737656ae5f-628bb0eafcb403aa62d2317d,,124177,
TED,ted,68fa84637ac952737656ae5f-62ab5aabbb869dd0df6a3487,,124221,-5
PokerGO,pokergo,68fa84637ac952737656ae5f-64ac687b4192b4e1bab96279,,124268,
The Jamie Oliver Channel,the-jamie-oliver-channel,68fa84637ac952737656ae5f-64b7170c4612b1f48e9ad31e,,124329,
Love Stories TV,love-stories-tv,68fa84637ac952737656ae5f-64e4351f200cd2f67473e0d2,,124581,-5
Racing America,racing-america,68fa84637ac952737656ae5f-61a945156547ba4d6d238dc9,,124630,
Women's Sports Network,womens-sports-network,68fa84637ac952737656ae5f-630fa9e577ec3866def38fa2,,124636,
TRACE Brazuca,trace-brazuca,68fa84637ac952737656ae5f-6329474265c8569187176338,,124749,
ACCDN,accdn,68fa84637ac952737656ae5f-5f8ee3727c75fa002d9e47c1,,124806,
Great British Menu,great-british-menu,68fa84637ac952737656ae5f-64704596e536e0faaf10be9b,,124931,
Anger Management,anger-management,68fa84637ac952737656ae5f-6303ca568a01b5d4dae57d0e,,125128,
Places & Spaces,places-and-spaces,68fa84637ac952737656ae5f-64b7139c8ec13d5dcb7e6bb2,,125151,
ACL Cornhole TV,acl-cornhole-tv-2,68fa84637ac952737656ae5f-63504925a97bd70eaef54f01,,125196,
Pac-12 Insider,pac-12-insider,68fa84637ac952737656ae5f-646c0dfbfb58444e4e1e262d,,125214,
LOL! Network,lol-network-2,68fa84637ac952737656ae5f-628ea9fcffe4cec6361f5310,,125215,-5
RCN Más,rcn-mas,68fa84637ac952737656ae5f-6244f2d33ef43121e567cf13,,125383,
VR+,vr,68fa84637ac952737656ae5f-65a1d3996475bf522f9256e3,,125419,
Sleuth,sleuth,68fa84637ac952737656ae5f-63fe77c753dd274874c49c42,,126323,
Top Gear,top-gear,68fa84637ac952737656ae5f-6308f121ac9983739c8a29bd,,126329,
Dance Moms by Lifetime,dance-moms-by-lifetime,68fa84637ac952737656ae5f-63ec13cb290593c3fc279f48,,126369,
4UV,4uv,68fa84637ac952737656ae5f-64149a3c238e21f260e7844c,,126373,
Military Heroes Presented By History,military-heroes-presented-by-history,68fa84637ac952737656ae5f-63ec15d6290593c3fc279f4a,,126439,
Pasión Latina,pasion-latina,68fa84637ac952737656ae5f-5f5132e362fe160040f26c18,,126569,
Toon Goggles,toon-goggles-2,68fa84637ac952737656ae5f-5f170d60b898490041b49359,,126634,
TG Junior,tg-junior-2,68fa84637ac952737656ae5f-5f170d64b898490041b4938f,,126670,
WeatherSpy,weatherspy-2,68fa84637ac952737656ae5f-5f0ff266d71dcb00449ec030,,127141,-5
At Home with Family Handyman,at-home-with-family-handyman,68fa84637ac952737656ae5f-632270e3e67cf9cd9011fce1,,127174,
Western Bound,western-bound,68fa84637ac952737656ae5f-62316e8eb9d292cb4ad7499f,,127279,
PFL MMA,pfl-mma,68fa84637ac952737656ae5f-643f0ecd76de2b4015ae6c01,,127399,
FamilyTime,family-time,68fa84637ac952737656ae5f-614b82e2fda2ea37754acbb8,,127467,
LOL! Stand Up,lol-stand-up,68fa84637ac952737656ae5f-620462434ebc6b3b9a8aed94,,128018,-5
Love Nature,love-nature,68fa84637ac952737656ae5f-60995eb136c72d002da7bbcb,,128066,
Gravitas Documentaries,gravitas-documentaries,68fa84637ac952737656ae5f-6291409aa0ed9c2b6ae63bae,,128068,
Gravitas Adrenaline,gravitas-adrenaline,68fa84637ac952737656ae5f-629141f6a0ed9c2b6ae63bb0,,128069,
Unexplained,unexplained,68fa84637ac952737656ae5f-62913be9a0ed9c2b6ae63bac,,128143,
PBS Nature,pbs-nature,68fa84637ac952737656ae5f-63506e7747b2355a27e76e7f,,128391,
The Hill TV,the-hill-tv,68fa84637ac952737656ae5f-62c4a65788737d6edc1a3626,,128492,
Dark Matter TV,dark-matter-tv,68fa84637ac952737656ae5f-5eea605674085f0040ddc7a6,,128542,
Antiques Road Trip,antiques-road-trip,68fa84637ac952737656ae5f-6348adc71159f6a5ce819b85,,128545,
PBS Antiques Roadshow,pbs-antiques-roadshow,68fa84637ac952737656ae5f-6348ac7090b96ef5e0eb3288,,128546,
Matched Married Meet,matched-married-meet,68fa84637ac952737656ae5f-63ec126f9866d8d2120ac75b,,129047,-6
Unbeaten,unbeaten,68fa84637ac952737656ae5f-633239caa6615514fb78ecf3,,129048,
NHRA TV,nhra-tv,68fa84637ac952737656ae5f-60aeb5cd87f9b1002ce12323,,129130,
Cold Case Files by A&E,cold-case-files-by-aande,68fa84637ac952737656ae5f-63f693a3fff2b53dc9ddc8f4,,129137,
INWONDER,inwonder,68fa84637ac952737656ae5f-6668b2b5e4f56766e556a413,,129477,
Documentary+,documentary-3,68fa84637ac952737656ae5f-62f42e6cad0081c6ef405723,,129672,-5
Canela Cinema,canela-cinema,68fa84637ac952737656ae5f-64fba5f3214cf8b3b54b5ecc,,129777,
Canela Telenovelas,canela-telenovelas,68fa84637ac952737656ae5f-64e6df6e4a5e9b4cedc6d529,,129781,
Canela Deportes,canela-deportes,68fa84637ac952737656ae5f-64fba7b6bb3e0baa5dcc0949,,129783,
Real Stories,real-stories,68fa84637ac952737656ae5f-5f74cf83ffbe690040689f4a,,131072,
Wonder,wonder,68fa84637ac952737656ae5f-5f74cf83ffbe690040689f4d,,131073,
Real Life,real-families,68fa84637ac952737656ae5f-5fd9089d102006002d33c0fc,,131074,
Real Wild,real-wild,68fa84637ac952737656ae5f-63584a0cf8e2be1350f802a4,,131075,
Reuters TV,reuters-tv,68fa84637ac952737656ae5f-5eea71d65252710041e0ccbc,,131221,
The Biggest Loser,the-biggest-loser,68fa84637ac952737656ae5f-6515ff231fc969615e69d170,,131259,
GLORY Kickboxing,glory-kickboxing,68fa84637ac952737656ae5f-63f914bffe2c3d32e1a7929f,,131359,
Desi Play TV,desi-play-tv,68fa84637ac952737656ae5f-634dddc8a319c6df243f521f,,131393,
Duck Dynasty,duck-dynasty,68fa84637ac952737656ae5f-63f688faf615dc7d3f9071f7,,131429,
Overtime,overtime,68fa84637ac952737656ae5f-62a388865440744efae8e243,,131737,
Gardening with Monty Don,gardening-with-monty-don,68fa84637ac952737656ae5f-63d6f9b67c3070b6e06e0aad,,131923,
Shemaroo Bollywood,shemaroo-bollywood,68fa84637ac952737656ae5f-62d1a58e520656fda09e609d,,132109,
Estrella Games,estrella-games,68fa84637ac952737656ae5f-64fb9149bb3e0baa5dcc0944,,132456,
Cine EstrellaTV,cine-estrellatv,68fa84637ac952737656ae5f-64fb8ec0214cf8b3b54b5ec8,,132491,
CraftsyTV,craftsytv,68fa84637ac952737656ae5f-6365779dde08f8eec6c3f21f,,132607,
PickleTV,pickletv,68fa84637ac952737656ae5f-63ec0b739866d8d2120ac759,,132608,
Wired2Fish,wired2fish,68fa84637ac952737656ae5f-608a2c722957c9002c6a617b,,132644,
CampusLore Sports,campuslore-sports,68fa84637ac952737656ae5f-6216ae22c3bbca2de8704f65,,132647,-5
Tribeca Channel,tribeca-channel,68fa84637ac952737656ae5f-60ede94f7da2ef002c55ce9b,,132888,
SPEEDVISION,speedvision,68fa84637ac952737656ae5f-6349ed0eb1adc4cfa571fd37,,132889,
