name,slug,plex_slug,id,callSign,tmsid,time_shift,notes,notes2,notes3
Newsmax2,newsmax2,plex-newsmax2,5fb81660b7ad2d002dcb7335,,121162,,,0,1
NHRA TV,nhra-tv,plex-nhra-tv,60aeb5cd87f9b1002ce12323,,129130,,,0,0
Ninja Kidz TV,ninja-kidz-tv,plex-ninja-kidz-tv,627ec46a92d8e6a705784bd1,,138773,-5,,0,1
NitroCircusTV,nitrocircustv,plex-nitrocircustv,656fb665cb7e8e6a9bc3f36c,,152974,,,0,1
Nosey,nosey,plex-nosey,5f0ff262d71dcb00449ec015,,119233,-5,,0,1
Nosey Escándalos,nosey-escandalos,plex-nosey-escandalos,6154a863e3e4d9577f96b31a,,133658,-5,,0,1
Nothin' But 90s,nothin-but-90s,plex-nothin-but-90s,62f13eeded056a1db9ef3d54,,68620,,,0,0
Operation Repo,operation-repo,plex-operation-repo,6578e7b5eef129f30fb38df7,,151312,,,0,1
Oro TV,oro-tv,plex-oro-tv,64f0db77c2bc9b9001d46eaa,,144965,,,0,1
OuterSphere by Lionsgate,outersphere-by-lionsgate,plex-outersphere-by-lionsgate,641496bf238e21f260e7844a,,135167,,,0,0
Outside,outside,plex-outside,629e522ed1bc5f1b16c6b98d,,114313,,,0,8
OUTtv Proud,outtv-proud,plex-outtv-proud,64aed1e9c6085b5faf20ee1f,,135510,,,0,0
Overtime,overtime,plex-overtime,62a388865440744efae8e243,,131737,,,0,1
Pac-12 Insider,pac-12-insider,plex-pac-12-insider,646c0dfbfb58444e4e1e262d,,125214,,,0,8
party tyme karaoke,party-tyme-karaoke,plex-party-tyme-karaoke,5eea605674085f0040ddc7ac,,137854,,,0,1
Paws & Claws,paws-and-claws,plex-paws-and-claws,66a2818ce1a2934adfe851e5,,138036,,169312,0,0
PBS Antiques Roadshow,pbs-antiques-roadshow,plex-pbs-antiques-roadshow,6348ac7090b96ef5e0eb3288,,128546,,,0,1
PBS Food,pbs-food,plex-pbs-food,650299cdec4e38daa56e9c7c,,142107,,,0,0
PBS Nature,pbs-nature,plex-pbs-nature,63506e7747b2355a27e76e7f,,128391,,,0,0
People are Awesome,people-are-awesome-2,plex-people-are-awesome-2,5f0ff263d71dcb00449ec021,,122524,,,0,1
Perform by Lifetime,perform-by-lifetime,plex-perform-by-lifetime,63c1ddfaf0f132afc3afbaae,,123424,-5,,0,1
PFL MMA,pfl-mma,plex-pfl-mma,643f0ecd76de2b4015ae6c01,,127399,,,0,1
PickleballTV,pickleballtv,plex-pickleballtv,6583507e0938f2993a23375c,,146769,,,0,1
PickleTV,pickletv,plex-pickletv,63ec0b739866d8d2120ac759,,132608,,,0,1
Places & Spaces,places-and-spaces,plex-places-and-spaces,64b7139c8ec13d5dcb7e6bb2,,125151,,,0,0
pocket.watch Game-On,pocket-watch-game-on,plex-pocket-watch-game-on,5f91c4ea96a391002df9a661,,118464,,,0,1
PokerGO,pokergo,plex-pokergo,64ac687b4192b4e1bab96279,,124268,,,0,1
Pop Adult,pop-adult,plex-pop-adult,62ee7992271f393d2d9f709c,,113302,,67558,0,0
Popular Science,popular-science,plex-popular-science,656fb850cb7e8e6a9bc3f36e,,152977,,,0,8
